product_id^name(ru-ru)^categories^sku^upc^ean^jan^isbn^mpn^location^quantity^model^manufacturer^image_name^shipping^price^points^date_added^date_modified^date_available^weight^weight_unit^length^width^height^length_unit^status^tax_class_id^description(ru-ru)^meta_title(ru-ru)^meta_description(ru-ru)^meta_keywords(ru-ru)^stock_status_id^store_ids^layout^related_ids^tags(ru-ru)^sort_order^subtract^minimum
49^Сквалановое масло Squalane Plant Extract^64^^^^^^^^1000^SQ88^^catalog/lico/uhod/104/104-Skvalanovoe-maslo-Squalane-Plant-Extract-1.jpg^yes^6840^0^^^^30^мл^0^0^0^см^^^<div class="h3 ff-medium"> ЛУЧШЕЕ СРЕДСТВО ПРОТИВ СТАРЕНИЯ КОЖИ </div> <p> Натуральное масло для глубокого увлажнения и омоложения вашей кожи. Экстракт сквалана восстанавливает липиды эпидермиса, способствуя тем самым сохранению влаги. Ускоряет регенерацию, стимулирует антиоксидантные процессы. </p> <p> Оливковое масло и масло жожоба повышают эластичность кожи и способствуют разглаживанию мелких морщин. Быстро впитывается в кожу, не оставляя маслянистости. Помогает предотвратить возрастные пятна и УФ повреждения кожи. </p> <p> <b>Способ применения:</b> на очищенную кожу нанести небольшое количество и нежно помассировать. Можно добавить несколько капель в крем для улучшения его действия. </p>^^^^7^0^0:^^^1^false^1
50^Пудра Two Way Cake 2 in 1, TK12 тон №1^65^^^^^^^^1000^ТК 12 - №1^^catalog/lico/pudra-i-tonalnye-sredstva/120/120-Pudra-Two-Way-Cake-2-in-1-TK12-ton-No1-1.jpg^yes^2170^0^^^^10,77^г^0^0^0^см^^^<p> Пудра разработана для двух видов использования- сухим и влажным спонжем. Она придаст лицу ровный цвет, здоровый вид и свежесть. Содержит масло сквалана, которое увлажняет, предотвращает раздражение, не образует комедонов и повышает эластичность кожи. </p>^^^^7^0^0:^^^1^false^1
51^Пудра Two Way Cake 2 in 1, TK12 тон №2^65^^^^^^^^1000^ТК 12 - №2^^catalog/lico/pudra-i-tonalnye-sredstva/120/120-Pudra-Two-Way-Cake-2-in-1-TK12-ton-No2-1.jpg^yes^2170^0^^^^10,77^г^0^0^0^см^^^<p> Пудра разработана для двух видов использования- сухим и влажным спонжем. Она придаст лицу ровный цвет, здоровый вид и свежесть. Содержит масло сквалана, которое увлажняет, предотвращает раздражение, не образует комедонов и повышает эластичность кожи. </p>^^^^7^0^0:^^^1^false^1
52^Пудра Two Way Cake 2 in 1, TK12 тон №3^65^^^^^^^^1000^ТК 12 - №3^^catalog/lico/pudra-i-tonalnye-sredstva/120/120-Pudra-Two-Way-Cake-2-in-1-TK12-ton-No3-1.jpg^yes^2170^0^^^^10,77^г^0^0^0^см^^^<p> Пудра разработана для двух видов использования- сухим и влажным спонжем. Она придаст лицу ровный цвет, здоровый вид и свежесть. Содержит масло сквалана, которое увлажняет, предотвращает раздражение, не образует комедонов и повышает эластичность кожи. </p>^^^^7^0^0:^^^1^false^1
53^Пудра Two Way Cake 2 in 1,TK12 тон №4^65^^^^^^^^1000^ТК 12 - №4^^catalog/lico/pudra-i-tonalnye-sredstva/120/120-Pudra-Two-Way-Cake-2-in-1TK12-ton-No4-1.jpg^yes^2170^0^^^^10,77^г^0^0^0^см^^^<p> Пудра разработана для двух видов использования- сухим и влажным спонжем. Она придаст лицу ровный цвет, здоровый вид и свежесть. Содержит масло сквалана, которое увлажняет, предотвращает раздражение, не образует комедонов и повышает эластичность кожи. </p>^^^^7^0^0:^^^1^false^1
54^Пудра Two Way Cake 2 in 1, TK12 тон №5^65^^^^^^^^1000^ТК 12 - №5^^catalog/lico/pudra-i-tonalnye-sredstva/120/120-Pudra-Two-Way-Cake-2-in-1-TK12-ton-No5-1.jpg^yes^2170^0^^^^10,77^г^0^0^0^см^^^<p> Пудра разработана для двух видов использования- сухим и влажным спонжем. Она придаст лицу ровный цвет, здоровый вид и свежесть. Содержит масло сквалана, которое увлажняет, предотвращает раздражение, не образует комедонов и повышает эластичность кожи. </p>^^^^7^0^0:^^^1^false^1
55^Пудра Two Way Cake 2 in 1, TK12 тон №6^65^^^^^^^^1000^ТК 12 - №6^^catalog/lico/pudra-i-tonalnye-sredstva/120/120-Pudra-Two-Way-Cake-2-in-1-TK12-ton-No6-1.jpg^yes^2170^0^^^^10,77^г^0^0^0^см^^^<p> Пудра разработана для двух видов использования- сухим и влажным спонжем. Она придаст лицу ровный цвет, здоровый вид и свежесть. Содержит масло сквалана, которое увлажняет, предотвращает раздражение, не образует комедонов и повышает эластичность кожи. </p>^^^^7^0^0:^^^1^false^1
56^Пудра Two Way Cake 2 in 1, TK12 тон №7^65^^^^^^^^1000^ТК 12 - №7^^catalog/lico/pudra-i-tonalnye-sredstva/120/120-Pudra-Two-Way-Cake-2-in-1-TK12-ton-No7-1.jpg^yes^2170^0^^^^10,77^г^0^0^0^см^^^<p> Пудра разработана для двух видов использования- сухим и влажным спонжем. Она придаст лицу ровный цвет, здоровый вид и свежесть. Содержит масло сквалана, которое увлажняет, предотвращает раздражение, не образует комедонов и повышает эластичность кожи. </p>^^^^7^0^0:^^^1^false^1
57^Пудра Two Way Cake 2 in 1,TK12 тон №8^65^^^^^^^^1000^ТК 12 - №8^^catalog/lico/pudra-i-tonalnye-sredstva/120/120-Pudra-Two-Way-Cake-2-in-1TK12-ton-No8-1.jpg^yes^2170^0^^^^10,77^г^0^0^0^см^^^<p> Пудра разработана для двух видов использования- сухим и влажным спонжем. Она придаст лицу ровный цвет, здоровый вид и свежесть. Содержит масло сквалана, которое увлажняет, предотвращает раздражение, не образует комедонов и повышает эластичность кожи. </p>^^^^7^0^0:^^^1^false^1
58^Пудра Two Way Cake 2 in 1, TK12 тон №9^65^^^^^^^^1000^ТК 12 - №9^^catalog/lico/pudra-i-tonalnye-sredstva/120/120-Pudra-Two-Way-Cake-2-in-1-TK12-ton-No9-1.jpg^yes^2170^0^^^^10,77^г^0^0^0^см^^^<p> Пудра разработана для двух видов использования- сухим и влажным спонжем. Она придаст лицу ровный цвет, здоровый вид и свежесть. Содержит масло сквалана, которое увлажняет, предотвращает раздражение, не образует комедонов и повышает эластичность кожи. </p>^^^^7^0^0:^^^1^false^1
59^Пудра Two Way Cake 2 in 1, TK12 тон №10^65^^^^^^^^1000^ТК 12 - №10^^catalog/lico/pudra-i-tonalnye-sredstva/120/120-Pudra-Two-Way-Cake-2-in-1-TK12-ton-No10-1.jpg^yes^2170^0^^^^10,77^г^0^0^0^см^^^<p> Пудра разработана для двух видов использования- сухим и влажным спонжем. Она придаст лицу ровный цвет, здоровый вид и свежесть. Содержит масло сквалана, которое увлажняет, предотвращает раздражение, не образует комедонов и повышает эластичность кожи. </p>^^^^7^0^0:^^^1^false^1
60^Пудра Two Way Cake 2 in 1, TK12 тон №11^65^^^^^^^^1000^ТК 12 - №11^^catalog/lico/pudra-i-tonalnye-sredstva/120/120-Pudra-Two-Way-Cake-2-in-1-TK12-ton-No11-1.jpg^yes^2170^0^^^^10,77^г^0^0^0^см^^^<p> Пудра разработана для двух видов использования- сухим и влажным спонжем. Она придаст лицу ровный цвет, здоровый вид и свежесть. Содержит масло сквалана, которое увлажняет, предотвращает раздражение, не образует комедонов и повышает эластичность кожи. </p>^^^^7^0^0:^^^1^false^1
61^Пудра Two Way Cake 2 in 1, TK12 тон №12^65^^^^^^^^1000^ТК 12 - №12^^catalog/lico/pudra-i-tonalnye-sredstva/120/120-Pudra-Two-Way-Cake-2-in-1-TK12-ton-No12-1.jpg^yes^2170^0^^^^10,77^г^0^0^0^см^^^<p> Пудра разработана для двух видов использования- сухим и влажным спонжем. Она придаст лицу ровный цвет, здоровый вид и свежесть. Содержит масло сквалана, которое увлажняет, предотвращает раздражение, не образует комедонов и повышает эластичность кожи. </p>^^^^7^0^0:^^^1^false^1
62^Пудра Two Way Cake 2 in 1, TK12 тон №13^65^^^^^^^^1000^ТК 12 - №13^^catalog/lico/pudra-i-tonalnye-sredstva/120/120-Pudra-Two-Way-Cake-2-in-1-TK12-ton-No13-1.jpg^yes^2170^0^^^^10,77^г^0^0^0^см^^^<p> Пудра разработана для двух видов использования- сухим и влажным спонжем. Она придаст лицу ровный цвет, здоровый вид и свежесть. Содержит масло сквалана, которое увлажняет, предотвращает раздражение, не образует комедонов и повышает эластичность кожи. </p>^^^^7^0^0:^^^1^false^1
63^Пудра Two Way Cake 2 in 1, TK12 тон №14^65^^^^^^^^1000^ТК 12 - №14^^catalog/lico/pudra-i-tonalnye-sredstva/120/120-Pudra-Two-Way-Cake-2-in-1-TK12-ton-No14-1.jpg^yes^2170^0^^^^10,77^г^0^0^0^см^^^<p> Пудра разработана для двух видов использования- сухим и влажным спонжем. Она придаст лицу ровный цвет, здоровый вид и свежесть. Содержит масло сквалана, которое увлажняет, предотвращает раздражение, не образует комедонов и повышает эластичность кожи. </p>^^^^7^0^0:^^^1^false^1
64^Пудра Two Way Cake 2 in 1,TK12 тон №15^65^^^^^^^^1000^ТК 12 - №15^^catalog/lico/pudra-i-tonalnye-sredstva/120/120-Pudra-Two-Way-Cake-2-in-1TK12-ton-No15-1.jpg^yes^2170^0^^^^10,77^г^0^0^0^см^^^<p> Пудра разработана для двух видов использования- сухим и влажным спонжем. Она придаст лицу ровный цвет, здоровый вид и свежесть. Содержит масло сквалана, которое увлажняет, предотвращает раздражение, не образует комедонов и повышает эластичность кожи. </p>^^^^7^0^0:^^^1^false^1
65^Пудра Two Way Cake 2 in 1, тон №16^65^^^^^^^^1000^ТК 12 - №16^^catalog/lico/pudra-i-tonalnye-sredstva/120/120-Pudra-Two-Way-Cake-2-in-1-ton-No16-1.jpg^yes^2170^0^^^^10,77^г^0^0^0^см^^^<p> Пудра разработана для двух видов использования- сухим и влажным спонжем. Она придаст лицу ровный цвет, здоровый вид и свежесть. Содержит масло сквалана, которое увлажняет, предотвращает раздражение, не образует комедонов и повышает эластичность кожи. </p>^^^^7^0^0:^^^1^false^1
66^Пудра Two Way Cake 2 in 1, тон №17^65^^^^^^^^1000^ТК 12 - №17^^catalog/lico/pudra-i-tonalnye-sredstva/120/120-Pudra-Two-Way-Cake-2-in-1-ton-No17-1.jpg^yes^2170^0^^^^10,77^г^0^0^0^см^^^<p> Пудра разработана для двух видов использования- сухим и влажным спонжем. Она придаст лицу ровный цвет, здоровый вид и свежесть. Содержит масло сквалана, которое увлажняет, предотвращает раздражение, не образует комедонов и повышает эластичность кожи. </p>^^^^7^0^0:^^^1^false^1
67^Пудра Two Way Cake 2 in 1, тон №18^65^^^^^^^^1000^ТК 12 - №18^^catalog/lico/pudra-i-tonalnye-sredstva/120/120-Pudra-Two-Way-Cake-2-in-1-ton-No18-1.jpg^yes^2170^0^^^^10,77^г^0^0^0^см^^^<p> Пудра разработана для двух видов использования- сухим и влажным спонжем. Она придаст лицу ровный цвет, здоровый вид и свежесть. Содержит масло сквалана, которое увлажняет, предотвращает раздражение, не образует комедонов и повышает эластичность кожи. </p>^^^^7^0^0:^^^1^false^1
68^Помада длительного действия «Фруктовый соблазн»,L24 цвет №01 Красная роза/ перл.^67^^^^^^^^1000^L24 - №01 Красная роза/ перл.^^catalog/guby/pomada/276/276-Pomada-dlitelnogo-deistvija-Fruktovyi-soblaznL24-cvet-No01-Krasnaja-roza-perl.-1.jpg^yes^1150^0^^^^4^г^0^0^0^см^^^<p> Входящее в состав аргановое масло, содержащее жирные кислоты омега-6 и омега-9, обладает восстанавливающими свойствами. Повышает упругость и эластичность губ. Сафролоровое масло превосходно защищает губы, смягчает и предохраняет кожу от высыхания. Насыщенная формула помады обеспечивает стойкость и яркий цвет на протяжении всего дня. </p>^^^^7^0^0:^^^1^false^1
69^Помада длительного действия «Фруктовый соблазн» L24, цвет №02 Серебристая сирень/ перл.^67^^^^^^^^1000^L24 - №02 Серебристая сирень/ перл.^^catalog/guby/pomada/276/276-Pomada-dlitelnogo-deistvija-Fruktovyi-soblazn-L24-cvet-No02-Serebristaja-siren-perl.-1.jpg^yes^1150^0^^^^4^г^0^0^0^см^^^<p> Входящее в состав аргановое масло, содержащее жирные кислоты омега-6 и омега-9, обладает восстанавливающими свойствами. Повышает упругость и эластичность губ. Сафролоровое масло превосходно защищает губы, смягчает и предохраняет кожу от высыхания. Насыщенная формула помады обеспечивает стойкость и яркий цвет на протяжении всего дня. </p>^^^^7^0^0:^^^1^false^1
70^Помада длительного действия «Фруктовый соблазн»,L24 цвет №03 Розовая гвоздика/ перл.^67^^^^^^^^1000^L24 - №03 Розовая гвоздика/ перл.^^catalog/guby/pomada/276/276-Pomada-dlitelnogo-deistvija-Fruktovyi-soblaznL24-cvet-No03-Rozovaja-gvozdika-perl.-1.jpg^yes^1150^0^^^^4^г^0^0^0^см^^^<p> Входящее в состав аргановое масло, содержащее жирные кислоты омега-6 и омега-9, обладает восстанавливающими свойствами. Повышает упругость и эластичность губ. Сафролоровое масло превосходно защищает губы, смягчает и предохраняет кожу от высыхания. Насыщенная формула помады обеспечивает стойкость и яркий цвет на протяжении всего дня. </p>^^^^7^0^0:^^^1^false^1
71^Помада длительного действия «Фруктовый соблазн», L24 цвет №05 Бронза/ перл.^67^^^^^^^^1000^L24 - №05 Бронза/ перл.^^catalog/guby/pomada/276/276-Pomada-dlitelnogo-deistvija-Fruktovyi-soblazn-L24-cvet-No05-Bronza-perl.-1.jpg^yes^1150^0^^^^4^г^0^0^0^см^^^<p> Входящее в состав аргановое масло, содержащее жирные кислоты омега-6 и омега-9, обладает восстанавливающими свойствами. Повышает упругость и эластичность губ. Сафролоровое масло превосходно защищает губы, смягчает и предохраняет кожу от высыхания. Насыщенная формула помады обеспечивает стойкость и яркий цвет на протяжении всего дня. </p>^^^^7^0^0:^^^1^false^1
72^Помада длительного действия «Фруктовый соблазн», цвет №06 Розовый пион/ перл.^67^^^^^^^^1000^L24 - №06 Розовый пион/ перл.^^catalog/guby/pomada/276/276-Pomada-dlitelnogo-deistvija-Fruktovyi-soblazn-cvet-No06-Rozovyi-pion-perl.-1.jpg^yes^1150^0^^^^4^г^0^0^0^см^^^<p> Входящее в состав аргановое масло, содержащее жирные кислоты омега-6 и омега-9, обладает восстанавливающими свойствами. Повышает упругость и эластичность губ. Сафролоровое масло превосходно защищает губы, смягчает и предохраняет кожу от высыхания. Насыщенная формула помады обеспечивает стойкость и яркий цвет на протяжении всего дня. </p>^^^^7^0^0:^^^1^false^1
73^Помада длительного действия «Фруктовый соблазн», цвет №07 Темная сирень/ перл.^67^^^^^^^^1000^L24 - №07 Темная сирень/ перл.^^catalog/guby/pomada/276/276-Pomada-dlitelnogo-deistvija-Fruktovyi-soblazn-cvet-No07-Temnaja-siren-perl.-1.jpg^yes^1150^0^^^^4^г^0^0^0^см^^^<p> Входящее в состав аргановое масло, содержащее жирные кислоты омега-6 и омега-9, обладает восстанавливающими свойствами. Повышает упругость и эластичность губ. Сафролоровое масло превосходно защищает губы, смягчает и предохраняет кожу от высыхания. Насыщенная формула помады обеспечивает стойкость и яркий цвет на протяжении всего дня. </p>^^^^7^0^0:^^^1^false^1
74^Помада длительного действия «Фруктовый соблазн», цвет №10 Алый/ глянец^67^^^^^^^^1000^L24 - №10 Алый/ глянец^^catalog/guby/pomada/276/276-Pomada-dlitelnogo-deistvija-Fruktovyi-soblazn-cvet-No10-Alyi-gljanec-1.jpg^yes^1150^0^^^^4^г^0^0^0^см^^^<p> Входящее в состав аргановое масло, содержащее жирные кислоты омега-6 и омега-9, обладает восстанавливающими свойствами. Повышает упругость и эластичность губ. Сафролоровое масло превосходно защищает губы, смягчает и предохраняет кожу от высыхания. Насыщенная формула помады обеспечивает стойкость и яркий цвет на протяжении всего дня. </p>^^^^7^0^0:^^^1^false^1
75^Помада длительного действия «Фруктовый соблазн», цвет №14 Пурпур/ глянец^67^^^^^^^^1000^L24 - №14 Пурпур/ глянец^^catalog/guby/pomada/276/276-Pomada-dlitelnogo-deistvija-Fruktovyi-soblazn-cvet-No14-Purpur-gljanec-1.jpg^yes^1150^0^^^^4^г^0^0^0^см^^^<p> Входящее в состав аргановое масло, содержащее жирные кислоты омега-6 и омега-9, обладает восстанавливающими свойствами. Повышает упругость и эластичность губ. Сафролоровое масло превосходно защищает губы, смягчает и предохраняет кожу от высыхания. Насыщенная формула помады обеспечивает стойкость и яркий цвет на протяжении всего дня. </p>^^^^7^0^0:^^^1^false^1
76^Помада длительного действия «Фруктовый соблазн», цвет №105 Молочный шоколад/ глянец^67^^^^^^^^1000^L24 - №105 Молочный шоколад/ глянец^^catalog/guby/pomada/276/276-Pomada-dlitelnogo-deistvija-Fruktovyi-soblazn-cvet-No105-Molocznyi-shokolad-gljanec-1.jpg^yes^1150^0^^^^4^г^0^0^0^см^^^<p> Входящее в состав аргановое масло, содержащее жирные кислоты омега-6 и омега-9, обладает восстанавливающими свойствами. Повышает упругость и эластичность губ. Сафролоровое масло превосходно защищает губы, смягчает и предохраняет кожу от высыхания. Насыщенная формула помады обеспечивает стойкость и яркий цвет на протяжении всего дня. </p>^^^^7^0^0:^^^1^false^1
77^Помада длительного действия «Фруктовый соблазн», цвет №19 Крем роза/ перл.^67^^^^^^^^1000^L24 - №19 Крем роза/ перл.^^catalog/guby/pomada/276/276-Pomada-dlitelnogo-deistvija-Fruktovyi-soblazn-cvet-No19-Krem-roza-perl.-1.jpg^yes^1150^0^^^^4^г^0^0^0^см^^^<p> Входящее в состав аргановое масло, содержащее жирные кислоты омега-6 и омега-9, обладает восстанавливающими свойствами. Повышает упругость и эластичность губ. Сафролоровое масло превосходно защищает губы, смягчает и предохраняет кожу от высыхания. Насыщенная формула помады обеспечивает стойкость и яркий цвет на протяжении всего дня. </p>^^^^7^0^0:^^^1^false^1
78^Помада длительного действия «Фруктовый соблазн», цвет №20 Карамелька / перл.^67^^^^^^^^1000^L24 - №20 Карамелька / перл.^^catalog/guby/pomada/276/276-Pomada-dlitelnogo-deistvija-Fruktovyi-soblazn-cvet-No20-Karamelka--perl.-1.jpg^yes^1150^0^^^^4^г^0^0^0^см^^^<p> Входящее в состав аргановое масло, содержащее жирные кислоты омега-6 и омега-9, обладает восстанавливающими свойствами. Повышает упругость и эластичность губ. Сафролоровое масло превосходно защищает губы, смягчает и предохраняет кожу от высыхания. Насыщенная формула помады обеспечивает стойкость и яркий цвет на протяжении всего дня. </p>^^^^7^0^0:^^^1^false^1
79^Помада длительного действия «Фруктовый соблазн», цвет №23 Спелая вишня/ глянец^67^^^^^^^^1000^L24 - №23 Спелая вишня/ глянец^^catalog/guby/pomada/276/276-Pomada-dlitelnogo-deistvija-Fruktovyi-soblazn-cvet-No23-Spelaja-vishnja-gljanec-1.jpg^yes^1150^0^^^^4^г^0^0^0^см^^^<p> Входящее в состав аргановое масло, содержащее жирные кислоты омега-6 и омега-9, обладает восстанавливающими свойствами. Повышает упругость и эластичность губ. Сафролоровое масло превосходно защищает губы, смягчает и предохраняет кожу от высыхания. Насыщенная формула помады обеспечивает стойкость и яркий цвет на протяжении всего дня. </p>^^^^7^0^0:^^^1^false^1
80^Помада длительного действия «Фруктовый соблазн», цвет №25 Pink rose/ глянец^67^^^^^^^^1000^L24 - №25 Pink rose/ глянец^^catalog/guby/pomada/276/276-Pomada-dlitelnogo-deistvija-Fruktovyi-soblazn-cvet-No25-Pink-rose-gljanec-1.jpg^yes^1150^0^^^^4^г^0^0^0^см^^^<p> Входящее в состав аргановое масло, содержащее жирные кислоты омега-6 и омега-9, обладает восстанавливающими свойствами. Повышает упругость и эластичность губ. Сафролоровое масло превосходно защищает губы, смягчает и предохраняет кожу от высыхания. Насыщенная формула помады обеспечивает стойкость и яркий цвет на протяжении всего дня. </p>^^^^7^0^0:^^^1^false^1
81^Помада длительного действия «Фруктовый соблазн», цвет №26 Пепельная роза / глянец^67^^^^^^^^1000^L24 - №26 Пепельная роза / глянец^^catalog/guby/pomada/276/276-Pomada-dlitelnogo-deistvija-Fruktovyi-soblazn-cvet-No26-Pepelnaja-roza--gljanec-1.jpg^yes^1150^0^^^^4^г^0^0^0^см^^^<p> Входящее в состав аргановое масло, содержащее жирные кислоты омега-6 и омега-9, обладает восстанавливающими свойствами. Повышает упругость и эластичность губ. Сафролоровое масло превосходно защищает губы, смягчает и предохраняет кожу от высыхания. Насыщенная формула помады обеспечивает стойкость и яркий цвет на протяжении всего дня. </p>^^^^7^0^0:^^^1^false^1
82^Помада длительного действия «Фруктовый соблазн»,L24 цвет №028 Яркая фуксия/ глянец^67^^^^^^^^1000^L24 - №028 Яркая фуксия/ глянец^^catalog/guby/pomada/276/276-Pomada-dlitelnogo-deistvija-Fruktovyi-soblaznL24-cvet-No028-YArkaja-fuksija-gljanec-1.jpg^yes^1150^0^^^^4^г^0^0^0^см^^^<p> Входящее в состав аргановое масло, содержащее жирные кислоты омега-6 и омега-9, обладает восстанавливающими свойствами. Повышает упругость и эластичность губ. Сафролоровое масло превосходно защищает губы, смягчает и предохраняет кожу от высыхания. Насыщенная формула помады обеспечивает стойкость и яркий цвет на протяжении всего дня. </p>^^^^7^0^0:^^^1^false^1
83^Помада длительного действия «Фруктовый соблазн»,L24 цвет №030 Молочная карамель / глянец^67^^^^^^^^1000^L24 - №030 Молочная карамель / глянец^^catalog/guby/pomada/276/276-Pomada-dlitelnogo-deistvija-Fruktovyi-soblaznL24-cvet-No030-Molocznaja-karamel--gljanec-1.jpg^yes^1150^0^^^^4^г^0^0^0^см^^^<p> Входящее в состав аргановое масло, содержащее жирные кислоты омега-6 и омега-9, обладает восстанавливающими свойствами. Повышает упругость и эластичность губ. Сафролоровое масло превосходно защищает губы, смягчает и предохраняет кожу от высыхания. Насыщенная формула помады обеспечивает стойкость и яркий цвет на протяжении всего дня. </p>^^^^7^0^0:^^^1^false^1
